sku,ean,sku_manufacturer,brand,category,title,description,image_1,image_2,image_3,image_4,image_5,product_price_vat_inc,min_quantity,increment,quantity,use_grid,carrier_grid_1,shipping_time_carrier_grid_1,weight,length,width,height,DisplayWeight,volume
S7188493,4078500065856,S7188493,Autres,Bricolage,Tagliasiepi Gardena 3.6 V,"Se ti piace curare ogni singolo dettaglio della casa ed essere sempre alla moda in tema di prodotti che ti renderanno la vità più facile, compra <b>Tagliasiepi Gardena 3.6 V</b> al miglior prezzo.<br><br><ul><li>Caratteristiche: Cavo USB</li><li>Batteria ricaricabile al litio: 3.6 V</li><li>Fonte di Alimentazione: Batteria</li><li>Funziona a batterie: 1 Litio Ion, incluidas</li></ul>",https://cdnbigbuy.com/images/4078500065856_S7188493_P01.jpg,https://cdnbigbuy.com/images/4078500065856_S7188493_P11.jpg,https://cdnbigbuy.com/images/4078500065856_S7188493_P21.jpg,https://cdnbigbuy.com/images/4078500065856_S7188493_P31.jpg,,151.52,1,1,2,1,Generale,5#7,1.36,12.2,35.8,11.6,1.36,5066.42
S3701848,4002581344449,S3701848,Autres,Bricolage,Adesivo per Pneumatici Foliatec 34444 6 mm Verde,Attrezza il tuo veicolo con le ultime novità del settore! Compra <b>Adesivo per Pneumatici Foliatec 34444 Verde 6 mm</b> e fai in modo che non ti manchi nulla!<br><ul><li>Larghezza: 6 mm</li><li>Caratteristiche: <ul><li>Adesivo</li><li>Resistenti al calore</li></ul></li><li>Colore: Verde</li></ul>,https://cdnbigbuy.com/images/4002581344449_A02.jpg,,,,,17.13,1,1,18,1,Generale,5#7,1.0,1.0,1.0,1.0,1.0,1.0
S0379518,8434103466616,S0379518,Autres,Bricolage,Orologio Donna Radiant RA578202 (Ø 38 mm),"Se ti piace seguire le ultime tendenze per quanto riguarda moda e accessori, compra <b>Orologio Donna Radiant RA578202 (Ø 38 mm)</b> al miglior prezzo.<br><br><ul><li>Genere: Donna</li><li>Anelli extra: No</li><li>Tipo di orologio: Orologio da polso</li><li>Materiale del cinturino: Acciaio inossidabile</li><li>Materiale della cassa dell'orologio: Metallo</li><li>Tipo di movimento: Quarzo</li><li>Cristallo: Minerale</li><li>Impermeabilità: 5 atm</li><li>Include: Include confezione della marca</li><li>Tipo di chiusura: Pressione</li><li>Colore del quadrante: Grigio</li><li>Colore della custodia dell'orologio: Dorato</li><li>Colore del cinturino: Dorato</li><li>Diametro della cassa dell'orologio: Ø 38 mm</li></ul>",https://cdnbigbuy.com/images/8434103466616_S0379518_P01.jpg,https://cdnbigbuy.com/images/75877_mandatory-watch1.jpg,,,,42.41,1,1,25,1,Generale,5#7,0.4,32.0,19.0,10.0,0.4,6080.0
S8430993,4899888726272,S8430993,Autres,Bricolage,Asciugamano usa e getta GC Xtrasec C3920 Bianco 196 Pezzi 20 Unità,"<p>Asciugamano usa e getta GC Xtrasec C3920 Bianco 196 Pezzi 20 Unità è un esclusivo prodotto di qualità per la cura del corpo. Se sei alla ricerca dei migliori prodotti di igiene personale, i prodotti GC originali al 100% sono esattamente ciò di cui hai bisogno.</p><br><br><ul><li>Tipo: A mano</li><li>Colore: Bianco</li><li>Numero di pezzi: 196 Pezzi</li><li>Caratteristiche: doppio strato</li><li>Unità: 20 Unità</li><li>Materiale: Cellulosa</li></ul>",https://cdnbigbuy.com/images/S8430993_P0_icon0.jpg,https://cdnbigbuy.com/images/S8430993_P00.jpg,,,,39.95,1,1,50,1,Generale,5#7,0.23,11.5,12.5,15.0,0.23,2156.25
S3623061,4899888631361,S3623061,Autres,Bricolage,Cesto per i Panni Stefanplast PR181A Plastica 25 L 59 x 23 x 38 cm Con manici (30 Unità),"Se ti piace curare ogni singolo dettaglio della casa ed essere sempre alla moda in tema di prodotti che ti renderanno la vità più facile, compra <b>Cesto per i Panni Stefanplast PR181A Plastica 25 L 59 x 23 x 38 cm Con manici (30 Unità)</b> al miglior prezzo.<br><br><ul><li>Tipo: Casa</li><li>Colore: <ul><li>Azzurro</li><li>Bianco</li><li>Marrone</li></ul></li><li>Caratteristiche: Con manici</li><li>Unità: <ul><li>1 Unità</li><li>30 Unità</li></ul></li><li>Materiale: Plastica</li><li>Informazioni importanti: Disegni assortiti inviati in modo aleatorio a seconda della disponibilità in magazzino</li><li>Capacità: 25 L</li><li>Dimensioni appross.: 59 x 23 x 38 cm</li></ul>",https://cdnbigbuy.com/images/S3623061_S3623061_P2_icon1.jpg,https://cdnbigbuy.com/images/S3623061_S3623061_P21.jpg,https://cdnbigbuy.com/images/S3623061_P3_WBG1.jpg,https://cdnbigbuy.com/images/S3623061_P1_WBG1.jpg,,231.62,1,1,8,1,Generale,5#7,23.8,41.0,60.5,100.0,23.8,248050.0
S71009556,5410527155827,S71009556,Autres,Bricolage,Vaso Autoirrigante Garden ID Taupé 20 x 20 cm,"Se ti piace curare ogni singolo dettaglio della casa ed essere sempre alla moda in tema di prodotti che ti renderanno la vità più facile, compra <b>Vaso Autoirrigante Garden ID Taupé 20 x 20 cm</b> al miglior prezzo.<br><br><ul><li>Tipo: Vaso Autoirrigante</li><li>Include: Serbatoio per l'acqua</li><li>Caratteristiche: <ul><li>Riciclabile</li><li>Materiale riciclato</li></ul></li><li>Colore: Taupé</li><li>Dimensioni appross.: 20 x 20 cm</li></ul>",https://cdnbigbuy.com/images/5410527155827_S71009556_P00.jpg,https://cdnbigbuy.com/images/5410527155827_S71009556_P10.jpg,https://cdnbigbuy.com/images/5410527155827_S71009556_P20.jpg,,,34.94,1,1,5,1,Generale,5#7,0.32,18.6,18.6,16.2,0.32,5604.55
S05127066,3443627818905,S05127066,Autres,Bricolage,Vino Bianco William Fèvre CHABLIS 2019,"Se sei alla ricerca di novità alla moda sul mercato, ti presentiamo <b>Vino Bianco William Fèvre CHABLIS 2019</b>!<br><br><ul><li>Tipo: Vino Bianco</li><li>Capacità: 750 ml</li><li>Varietà di uva: Chardonnay</li></ul><br><br>Informazioni importanti: L'anno di raccolta può variare rispetto a quello indicato..",https://cdnbigbuy.com/images/3443627818905_S05127066_P00.jpg,,,,,46.76,1,1,2,1,Generale,5#7,1.32,8.0,8.0,30.0,1.32,1920.0
S71015882,3174264783232,S71015882,Autres,Bricolage,Vernice Bondex,"Se sei alla ricerca di novità alla moda sul mercato, ti presentiamo <b>Vernice Bondex</b>!<br><br><ul><li>Tipo: Vernice</li></ul>",https://cdnbigbuy.com/images/3174264783232_S71015882_P00.jpg,,,,,118.53,1,1,20,1,Generale,5#7,6.54,14.66,14.18,13.73,6.54,2854.18
S3623594,4899888632313,S3623594,Autres,Bricolage,"Vaso rettangolare da Balcone Stefanplast Bianco Plastica 39 x 13,5 x 15 cm (12 Unità)","Se ti piace curare ogni singolo dettaglio della casa ed essere sempre alla moda in tema di prodotti che ti renderanno la vità più facile, compra <b>Vaso rettangolare da Balcone Stefanplast Bianco Plastica 39 x 13,5 x 15 cm (12 Unità)</b> al miglior prezzo.<br><br><ul><li>Tipo: Giardino</li><li>Colore: Bianco</li><li>Materiale: Plastica</li><li>Unità: 12 Unità</li><li>Dimensioni appross.: 39 x 13,5 x 15 cm</li></ul>",https://cdnbigbuy.com/images/S3623594_P0_WBG_icon1.jpg,https://cdnbigbuy.com/images/S3623594_P0_WBG1.jpg,https://cdnbigbuy.com/images/S3623594_P1_WBG1.jpg,,,67.24,1,1,10,1,Generale,5#7,5.7,30.0,40.0,30.5,5.7,36600.0
S7916273,8425998630084,S7916273,Autres,Bricolage,Condensatore di accensione EDM,"Se sei alla ricerca di novità alla moda sul mercato, ti presentiamo <b>Condensatore di accensione EDM</b>!<br><br><ul><li>Tipo: Condensatore</li><li>Colore: Bianco</li><li>Materiale: polipropilene</li><li>Voltaggio: 450 V</li><li>Peso: 170 g</li></ul>",https://cdnbigbuy.com/images/8425998630084_00_WBG1.jpg,,,,,12.01,1,1,25,1,Generale,5#7,0.17,5.0,10.0,20.0,0.17,1000.0
S2228449,4899888688020,S2228449,Autres,Bricolage,Vaso Dem Squares Plastica Marrone Ø 60 cm (6 Unità),"Se ti piace curare ogni singolo dettaglio della casa ed essere sempre alla moda in tema di prodotti che ti renderanno la vità più facile, compra <b>Vaso Dem Squares Plastica Marrone Ø 60 cm (6 Unità)</b> al miglior prezzo.<br><br><ul><li>Tipo: Vaso</li><li>Materiale: Plastica</li><li>Colore: Marrone</li><li>Diametro: Ø 60 cm</li><li>Unità: 6 Unità</li></ul>",https://cdnbigbuy.com/images/S2228449_1701785488-no-background_icon0.jpg,https://cdnbigbuy.com/images/S2228449_1701785488-no-background0.jpg,,,,54.28,1,1,50,1,Generale,5#7,10.1,62.0,62.0,45.0,10.1,172980.0
S71015916,0074451174917,S71015916,Autres,Bricolage,Riduttore WC per Bambini Bright Starts,"Se sei alla ricerca di novità alla moda sul mercato, ti presentiamo <b>Riduttore WC per Bambini Bright Starts</b>!",https://cdnbigbuy.com/images/0074451174917_S71015916_P00.jpg,https://cdnbigbuy.com/images/0074451174917_S71015916_P20.jpg,https://cdnbigbuy.com/images/0074451174917_S71015916_P10.jpg,,,38.51,1,1,10,1,Generale,5#7,0.38,35.74,35.0,16.11,0.38,20152.0
S91123453,5903802474596,S91123453,Autres,Bricolage,Spuntino per Cat Bult 150 g,"Se sei alla ricerca di novità alla moda sul mercato, ti presentiamo <b>Spuntino per Cat Bult 150 g</b>!<br><br><ul><li>Animale Domestico: Gatto</li><li>Tipo: Spuntino per Cat</li><li>Forma: Solido</li><li>Capacità: 150 g</li></ul><br><br>Informazioni importanti: Senza Glutine. <br><br> Informazioni importanti: Senza zucchero. <br><br> Informazioni importanti: Senza soia. <br><br> Avvertenze: Conservare in un luogo fresco e asciutto..",https://cdnbigbuy.com/images/5903802474596_S91123453_P00.jpg,,,,,5.74,1,1,50,1,Generale,5#7,0.17,7.2,7.2,10.1,0.17,523.58
S71000223,3159059049878,S71000223,Autres,Bricolage,Arco di Attività per Bambini Looping,"I bambini meritano il meglio, per questo ti presentiamo <b>Arco di Attività per Bambini Looping</b>, ideale per coloro che cercano prodotti di qualità per i più piccoli! Scopri <b>Looping</b> ai migliori prezzi!",https://cdnbigbuy.com/images/3159059049878_S71000223_P50.jpg,https://cdnbigbuy.com/images/3159059049878_S71000223_P00.jpg,https://cdnbigbuy.com/images/3159059049878_S71000223_P10.jpg,https://cdnbigbuy.com/images/3159059049878_S71000223_P20.jpg,,139.3,1,1,5,1,Generale,5#7,8.74,82.0,49.5,15.5,8.74,62914.5
S71018361,0012914111246,S71018361,Autres,Bricolage,Vasino Ingenuity,"Se sei alla ricerca di novità alla moda sul mercato, ti presentiamo <b>Vasino Ingenuity</b>!",https://cdnbigbuy.com/images/0012914111246_S71018361_P00.jpg,https://cdnbigbuy.com/images/0012914111246_S71018361_P10.jpg,https://cdnbigbuy.com/images/0012914111246_S71018361_P20.jpg,https://cdnbigbuy.com/images/0012914111246_S71018361_P30.jpg,,54.94,1,1,25,1,Generale,5#7,1.36,40.0,35.0,16.0,1.36,22400.0
S5633530,3121040067741,S5633530,Autres,Bricolage,Ferro da Stiro a Vapore Tefal FV 1713 Azzurro 2000 W,"Se ti piace curare ogni singolo dettaglio della casa ed essere sempre alla moda in tema di prodotti che ti renderanno la vità più facile, compra <b>Ferro da Stiro a Vapore Tefal FV 1713 Azzurro 2000 W</b> al miglior prezzo.<br><br><ul><li>Tipo di presa: Spina EU</li><li>Prodotto plug-in: Sì</li><li>Caratteristiche: <ul><li>Funzione spray</li><li>Maniglia ergonomica</li><li>Con cavo</li><li>Funzione vapore verticale</li><li>Regolatore di vapore</li><li>Sistema antiscavalcamento</li></ul></li><li>Tipo: <ul><li>Ferro da Stiro a Vapore</li><li>Ferro da stiro a secco e a vapore</li></ul></li><li>Vapore continuo: 24 g/min</li><li>Getto di vapore: 90 g/min</li><li>Colore: Azzurro</li><li>Potenza: 2000 W</li><li>Design: Ergonomico</li></ul>",https://cdnbigbuy.com/images/3121040067741_I00.jpg,https://cdnbigbuy.com/images/3121040067741_S9104159_P20.jpg,https://cdnbigbuy.com/images/3121040067741_S9104159_P10.jpg,https://cdnbigbuy.com/images/3121040067741_S9104159_P00.jpg,,37.95,1,1,25,1,Generale,5#7,1.64,26.78,20.18,18.93,1.64,10230.16
